page,name,brand,link,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
laptopworld,Laptop Lenovo V14 G4 IRU 83A0000NVN (Core i7-1355U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | No OS | Xám),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-v14-g4-iru-83a0000nvn,18490000.0,0,1,Intel Core i71355U ,Intel,8.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,HD
laptopworld,Laptop Lenovo V14 G4 IRU 83A0000XVN (Core i7-1355U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Win11 | Xám),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-v14-g4-iru-83a0000xvn,19710000.0,0,1,Intel Core i71355U ,Intel,8.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,HD
laptopworld,Laptop Acer Swift 3 Super SF314-71-74WD NX.KAWSV.001 (Core™ i7-12700H | 16GB | 1TB | Iris® Xe Graphics | 14inch 2.8K | Win 11 | Vàng),Laptop Acer,https://laptopworld.vn/laptop-acer-swift-3-super-sf314-71-74wd-nx-kawsv-001,34790000.0,0,1,Intel Core i712700H ,Intel,16.0,DDR5,SSD,1TB,Intel Iris Xe Graphics,Intel,14.0,8K
laptopworld,Lenovo IdeaPad Slim 3 14IAH8 83EQ0009VN (Intel Core i5-12450H | 16GB | 1TB | Intel UHD | 14 inch FHD | Win 11 | Xám),Lenovo,https://laptopworld.vn/lenovo-ideapad-slim-3-14iah8-83eq0009vn,16990000.0,0,1,Intel Core i512450H ,Intel,16.0,DDR5,SSD,1TB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,Laptop Dell Vostro 3430 60YGM (Core i5-1335U | 8GB | 512GB | MX550 2GB | 14 inch FHD | Win 11 + Office | Đen),Laptop Dell,https://laptopworld.vn/laptop-dell-vostro-3430-60ygm,20990000.0,0,1,Intel Core i51335U ,Intel,8.0,DDR4,SSD,512GB,NVIDIA GeForce MX550 2GB GDDR6,Apple,14.0,HD
laptopworld,Laptop Lenovo ThinkPad T14s Gen 4 21F60081VA (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 14 inch 2.2K | No OS | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-t14s-gen-4-21f60081va,30490000.0,0,1,Intel Core i51335U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,2K
laptopworld,Laptop Dell Inspiron 3530 N5I5489W1 (Core i5-1335U | 16GB | 512GB | GeForce MX550 | 15.6 inch FHD | Win 11 | Office | Bạc),Laptop Dell,https://laptopworld.vn/laptop-dell-inspiron-3530-n5i5489w1,21490000.0,0,1,Intel Core i51335U ,Intel,16.0,DDR4,SSD,512GB,NVIDIA GeForce MX550 2GB GDDR6,Apple,15.6,HD
laptopworld,Dell Latitude 3540 71021489 (Core i7-1355U | 16GB | 512GB | Intel Iris Xe Graphics | 15.6 inch HD | Fedora | Đen),Dell,https://laptopworld.vn/dell-latitude-3540-71021489.html,25990000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,HD
laptopworld,Laptop Acer Swift Go SFG14-71-513F NX.KPZSV.003 (Core i5-13500H | 16GB | 512GB | Intel Iris Xe | 14 inch OLED 2.8k | Win 11 | Sunshiny Gold),Laptop Acer,https://laptopworld.vn/laptop-acer-swift-go-sfg14-71-513f-nx-kpzsv-003,24590000.0,0,1,Intel Core i513500H ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,8K
laptopworld,Laptop Acer Swift Go SFG14-71-74CP NX.KPZSV.004 (Core i7-13700H | 16GB | 512GB | Intel Iris Xe | 14 inch OLED 2.8K | Win 11 | Sunshiny Gold),Laptop Acer,https://laptopworld.vn/laptop-acer-swift-go-sfg14-71-74cp-nx-kpzsv-004,28690000.0,0,1,Intel Core i713700H ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,8K
laptopworld,Dell Latitude 3540 71021487 (Core i5-1335U | 8GB | 256GB | Intel Iris Xe Graphics | 15.6 inch FHD | Fedora | Đen),Dell,https://laptopworld.vn/dell-latitude-3540-71021487.html,19990000.0,0,1,Intel Core i51335U ,Intel,8.0,DDR4,SSD,256GB,Intel Iris Xe Graphics,Intel,15.6,HD
laptopworld,"Laptop Dell Inspiron 16 5635 (Ryzen™ 5-7530U, Ram 8GB, 512GB SSD, AMD Radeon Graphics, 16 inch FHD+, Win 11, Bạc)",Laptop Dell,https://laptopworld.vn/laptop-dell-inspiron-16-5635-ryzen-5-7530u-ram-8gb-512gb-ssd-amd-radeon-graphics-16-inch-fhd-win-11-bac,17990000.0,0,1,AMD Ryzen 5 7530U ,AMD,8.0,DDR4,SSD,512GB,AMD Radeon Graphics,AMD,16.0,HD
laptopworld,Laptop Dell Latitude 9440 71021494 (Intel Core i7-1365U | 16GB | 512GB | Intel Iris Xe | 14 inch QHD | CẢm ứng | Win 11 Pro | Grey),Laptop Dell,https://laptopworld.vn/laptop-dell-latitude-9440-71021494,66100000.0,0,1,Intel Core i71365U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,HD
laptopworld,Laptop Asus ExpertBook B1 B1402CVA-NK0177W (Core™ i7-1355U | 16GB | 512GB | Intel® UHD Graphics | 14.0inch FHD | Win11 | Đen),Laptop Asus,https://laptopworld.vn/laptop-asus-expertbook-b1-b1402cva-nk0177w.html,19290000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,Laptop Asus ExpertBook B1 B1402CVA-NK0157W (Core™ i7-1355U | 8GB | 512GB | Intel® UHD Graphics | 14.0inch FHD | Win11 | Đen),Laptop Asus,https://laptopworld.vn/laptop-asus-expertbook-b1-b1402cva-nk0157w.html,18490000.0,0,1,Intel Core i71355U ,Intel,8.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,Laptop Asus ExpertBook B1 B1402CVA-NK0062W (Core™ i5-1335U | 8GB | 512GB | Intel® UHD Graphics | 14.0inch FHD | Win11 | Đen),Laptop Asus,https://laptopworld.vn/laptop-asus-expertbook-b1-b1402cva-nk0062w.html,15490000.0,0,1,Intel Core i51335U ,Intel,8.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,Laptop Dell Latitude 7340 71021493 (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 13.3 inch FHD | Fedora | Xám),Laptop Dell,https://laptopworld.vn/laptop-dell-latitude-7340-71021493,37990000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,13.3,HD
laptopworld,Laptop Dell Vostro 3530 V5I3465W1 (Core i3-1305U | 8GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Office | Xám),Laptop Dell,https://laptopworld.vn/laptop-dell-vostro-3530-v5i3465w1,15990000.0,0,1,Intel Core i31305U ,Intel,8.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
laptopworld,Laptop Acer Aspire 7 A715-76-53PJ NH.QGESV.007 (Core i5-12450H | 16GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Đen),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-7-a715-76-53pj-nh-qgesv-007,16990000.0,0,1,Intel Core i512450H ,Intel,16.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
laptopworld,Laptop Acer Aspire 5 A514-56P-55K5 NX.KHRSV.003 (Core i5-1335U | 16GB | 512GB | Intel Iris Xe Graphics | 14 inch WUXGA | Win11 | Gray),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-5-a514-56p-55k5-nx-khrsv-003,16990000.0,0,1,Intel Core i51335U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
laptopworld,Acer Aspire 7 A715-76-728X NH.QGESV.008 (Core i7-12650H | 16GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Đen),Acer,https://laptopworld.vn/acer-aspire-7-a715-76-728x-nh-qgesv-008.html,20490000.0,0,1,Intel Core i712650H ,Intel,16.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
laptopworld,Laptop Acer Aspire 5 A515-58P-56RP NX.KHJSV.008 (Core i5-1335U | 16GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Xám),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-5-a515-58p-56rp-nx-khjsv-008,16990000.0,0,1,Intel Core i51335U ,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
laptopworld,HP 240 G10 8U7D8PA (Core™ i3-N305 | 8GB | 256GB | Intel UHD | 14 inch FHD | Win 11 | Bạc),HP,https://laptopworld.vn/hp-240-g10-8u7d8pa.html,11590000.0,0,1,Intel Core i3N305 ,Intel,8.0,DDR4,SSD,256GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,HP 240 G10 8U7D0PA (Core™ i3-N305 | 4GB | 256GB | Intel UHD | 14 inch FHD | Win 11 | Bạc),HP,https://laptopworld.vn/hp-240-g10-8u7d0pa.html,10990000.0,0,1,Intel Core i3N305 ,Intel,4.0,DDR4,SSD,256GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,Laptop Dell Inspiron 16 5630 H6KRV (Core i5-1340P | 16GB | 512GB | RTX 2050 | 16 inch FHD+ | Win 11 | Office | Bạc),Laptop Dell,https://laptopworld.vn/laptop-dell-inspiron-16-5630-h6krv,27990000.0,0,1,Intel Core i51340P ,Intel,16.0,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,Nvidia,16.0,HD
laptopworld,Laptop Acer Aspire 3 Spin 14 A3SP14-31PT-387Z NX.KENSV.001 (Core i3-N305 | 8GB | 512GB | Intel UHD | 14 inch WUXGA | Win 11 | Bạc),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-3-spin-14-a3sp14-31pt-387z-nx-kensv-001,13790000.0,0,1,Intel Core i3N305 ,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,IPS
laptopworld,Laptop Acer Aspire 3 A314-36M-34AP NX.KMRSV.001 (Core i3-N305 | 8GB | 512GB | Intel UHD | 14 inch FHD | Win 11 | Xanh),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-3-a314-36m-34ap-nx-kmrsv-001,10790000.0,0,1,Intel Core i3N305 ,Intel,8.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,Laptop Lenovo ThinkPad T14 Gen 4 21HESG7N00 (Core i7-1360P | 16GB | 512GB | Intel Iris Xe Graphics | 14.0inch WUXGA | NoOS | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-t14-gen-4-21hesg7n00,34990000.0,0,1,Intel Core i71360P ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
laptopworld,Laptop Dell Vostro 3530 V5I5267W1 (Intel Core i5-1335U | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Xám),Laptop Dell,https://laptopworld.vn/laptop-dell-vostro-3530-v5i5267w1,17990000.0,0,1,Intel Core i51335U ,Intel,8.0,DDR4,SSD,256GB,Intel Iris Xe Graphics,Intel,15.6,HD
laptopworld,Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-573X NX.KHKSV.002 (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 14 inch WUXGA | Win 11 | Xám),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-5-spin-14-a5sp14-51mtn-573x-nx-khksv-002,20990000.0,0,1,Intel Core i51335U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
laptopworld,Laptop Acer Aspire 5 A515-58GM-59LJ NX.KQ4SV.001 (Core i5-13420H | 8GB | 512GB | RTX 2050 | 15.6 inch FHD | Win 11 | Gray),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-5-a515-58gm-59lj-nx-kq4sv-001,20490000.0,0,1,Intel Core i513420H ,Intel,8.0,DDR4,SSD,512GB,NVIDIA GeForce RTX2050 4GB GDDR6,Apple,15.6,HD
laptopworld,Laptop Acer Aspire 5 A515-58P-774R NX.KHJSV.005 (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Gray),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-5-a515-58p-774r-nx-khjsv-005,19990000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,15.6,HD
laptopworld,Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-78JH NX.KHTSV.003 (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 14 inch WUXGA | Win 11 | Đen),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-5-spin-14-a5sp14-51mtn-78jh-nx-khtsv-003,24590000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
laptopworld,Laptop Acer Aspire 5 A514-56P-742F NX.KHRSV.005 (Core i7-1355U | 16GB | 512GB | Intel Iris Xe Graphics | 14 inch WUXGA | Win11 | Gray),Laptop Acer,https://laptopworld.vn/laptop-acer-aspire-5-a514-56p-742f-nx-khrsv-005,19990000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,IPS
laptopworld,Laptop Lenovo Yoga Slim 6 14IRH8 83E0000VVN (Core i7-13700H | 16GB | 512GB | Intel® Iris® Xe Graphics | 14 inch WQXGA OLED | Win 11 | Office | Xám),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-yoga-slim-6-14irh8-83e0000vvn,26890000.0,0,1,Intel Core i713700H ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,OLED
laptopworld,Laptop Dell Inspiron 16 5630 71020244 (Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 16 inch FHD | Win 11 | Office | Bạc),Laptop Dell,https://laptopworld.vn/laptop-dell-inspiron-16-5630-71020244,22990000.0,0,1,Intel Core i51335U ,Intel,8.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,16.0,HD
laptopworld,Laptop Dell Inspiron 5430 N5430-i5P165W11SL2050 (Core i5-1340P | 16GB | 512GB | RTX 2050 4GB | 14.0 inch 2.5K | Win 11 | Bạc),Laptop Dell,https://laptopworld.vn/laptop-dell-inspiron-5430-n5430-i5p165w11sl2050,29290000.0,0,1,Intel Core i51340P ,Intel,16.0,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,Nvidia,14.0,
laptopworld,Laptop Dell Vostro 3530 V3530-i7U085W11GRD2 (Intel Core i7-1355U | 8GB | 512GB | MX550 2GB | 15.6 inch FHD | Win 11 | Xám),Laptop Dell,https://laptopworld.vn/laptop-dell-vostro-3530-v3530-i7u085w11grd2,24490000.0,0,1,Intel Core i71355U ,Intel,8.0,DDR4,SSD,512GB,NVIDIA GeForce MX550 2GB GDDR6,Apple,15.6,HD
laptopworld,Laptop Dell Inspiron 5630 N5630-i7P165W11SL2050 (Core i7-1360P | 16GB | 512GB | RTX 2050 4GB | 16.0inch FHD+ | Win 11 | Bạc),Laptop Dell,https://laptopworld.vn/laptop-dell-inspiron-5630-n5630-i7p165w11sl2050,33390000.0,0,1,Intel Core i71360P ,Intel,16.0,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,Nvidia,16.0,HD
laptopworld,Laptop Dell Vostro 5630 V5630-i5U165W11GRU (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 16.0 inch FHD+ | Win 11 | Xám),Laptop Dell,https://laptopworld.vn/laptop-dell-vostro-5630-v5630-i5u165w11gru,24790000.0,0,1,Intel Core i51335U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,16.0,HD
laptopworld,Laptop HP Pavilion 15-eg3112TU 8U6L9PA (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Windows 11 | Bạc),Laptop HP,https://laptopworld.vn/laptop-hp-pavilion-15-eg3112tu-8u6l9pa,25290000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,HD
laptopworld,HP 240 G10 8F133PA (Core i5-1335U | 8GB | 256GB | Intel Iris Xe | 14 inch FHD | Win 11 | Bạc),HP,https://laptopworld.vn/hp-240-g10-8f133pa.html,17990000.0,0,1,Intel Core i51335U ,Intel,8.0,DDR4,SSD,256GB,Intel Iris Xe Graphics,Intel,14.0,HD
laptopworld,HP 240 G10 8F139PA (Core i7-1355U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Win 11 | Bạc),HP,https://laptopworld.vn/hp-240-g10-8f139pa.html,20990000.0,0,1,Intel Core i71355U ,Intel,8.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,HD
laptopworld,HP 240 G10 8F129PA (Intel Core i3-1315U | 8GB | 256GB | Intel UHD | 14 inch FHD | Win 11 | Bạc),HP,https://laptopworld.vn/hp-240-g10-8f129pa.html,12990000.0,0,1,Intel Core i31315U ,Intel,8.0,DDR4,SSD,256GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,Lenovo ThinkPad T14s Gen 4 21F60082VA (Core i7-1355U | 16GB | 512GB | Intel Iris Xe Graphics | 14 inch 2.2K | No-Os | Đen),Lenovo,https://laptopworld.vn/lenovo-thinkpad-t14s-gen-4-21f60082va.html,34762000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,2K
laptopworld,Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN (Core i5-12450H | 16GB | 512GB | Intel UHD | 14 inch FHD | Win 11 | Xám),Lenovo,https://laptopworld.vn/lenovo-ideapad-slim-3-14iah8-83eq0005vn,15990000.0,0,1,Intel Core i512450H ,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14.0,HD
laptopworld,HP 14-ep0110TU 8C5K9PA (Core™ i7-1355U | 16GB | 512GB | Intel® Iris® Xᵉ Graphics | 14inch FHD | Win 11 | Bạc),HP,https://laptopworld.vn/hp-14-ep0110tu-8c5k9pa.html,21990000.0,0,1,Intel Core i71355U ,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xᵉ Graphics,Intel,14.0,HD
