page,name,brand,link,price,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,screen_size,screen_type
laptopworld,Laptop Lenovo LOQ 15IAX9 83GS001SVN (Core i5-12450HX | 12GB | 512GB | RTX 2050 | 15.6 inch FHD 144Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-loq-15iax9-83gs001svn,21490000.0,Intel Core i512450HX ,Intel,12,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,15.6,HD
laptopworld,Laptop MSI Pulse 17 AI C1VGKG 017VN (Intel Core Ultra 7 155H | 32GB | 1TB | RTX 4070 8GB | 17 inch QHD+ 240Hz | Win 11 | Đen),Laptop MSI,/laptop-msi-pulse-17-ai-c1vgkg-017vn,51990000.0,Intel Core Ultra 7 155H ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4070 8GB GDDR6,17 ,HD
laptopworld,Laptop MSI Stealth 18 AI Studio A1VGG 008VN (Intel Core Ultra 9 185H | 32GB | 2TB | RTX 4070 | 18 inch UHD+ 120Hz | Win 11 | Đen),Laptop MSI,/laptop-msi-stealth-18-ai-studio-a1vgg-008vn,79990000.0,Intel Core Ultra 9 185H ,Intel,32,DDR5,SSD,2TB,NVIDIA GeForce RTX 4070 8GB GDDR6,18 ,HD
laptopworld,Laptop MSI Raider 18 HX A14VHG 230VN (Core™ i9-14900HX | 32GB | 2TB | RTX 4080 | 18 inch UHD+ 120Hz | Win 11 | Đen),Laptop MSI,/laptop-msi-raider-18-hx-a14vhg-230vn,92990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,2TB,NVIDIA GeForce RTX 4080 12GB GDDR6,18 ,HD
laptopworld,Laptop MSI Katana A15 AI B8VE 402VN (AMD Ryzen 7-8845HS | 16GB | 512GB | RTX 4050  | 15.6 inch FHD | Win 11 | Đen),Laptop MSI,/laptop-msi-katana-a15-ai-b8ve-402vn,28990000.0,AMD Ryzen 78845HS ,AMD,512,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,15.6,HD
laptopworld,Laptop MSI Sword 16 HX B14VFKG 045VN (Intel Core i7-14700HX | 16GB | 1TB | RTX 4060 | 16 inch QHD+ 240Hz | Win 11 | Xám),Laptop MSI,/laptop-msi-sword-16-hx-b14vfkg-045vn,39990000.0,Intel Core i714700HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16 ,HD
laptopworld,Laptop MSI Stealth 14 AI Studio A1VFG 050VN ( Intel Core Ultra 7 155H | 32GB | 1TB | RTX 4060 | 14 inch 2.8K | Win 11 | Xanh),Laptop MSI,/laptop-msi-stealth-14-ai-studio-a1vfg-050vn,49990000.0,Intel Core Ultra 7 155H ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,14,8K
laptopworld,Laptop HP Omen Transcend 14 (Core Ultra 9 185H | 16GB | 2TB | RTX 4070 | 14 inch OLED 2.8K | Win 11 | Đen),Laptop HP,/laptop-hp-omen-transcend-14-core-ultra-9-185h-16gb-2tb-rtx-4070-14-inch-oled-2-8k-win-11-den.html,,Intel Core Ultra 9 185H ,Intel,16,DDR5,SSD,2TB,NVIDIA GeForce RTX 4070 8GB GDDR6,14 ,8K
laptopworld,Laptop MSI Thin A15 B7VE 023VN (Ryzen 5-7535HS | 8GB | 512GB | RTX 4050 | 15.6 inch FHD | Win 11 | Xám),Laptop MSI,/laptop-msi-thin-a15-b7ve-023vn,23990000.0,AMD Ryzen 57535HS ,AMD,512,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,15.6,HD
laptopworld,Laptop MSI Cyborg 15 AI A1VEK 053VN (Intel Core Ultra 7 155H | 16GB | 512GB | RTX 4050 | 15.6 inch FHD | Win 11 | Đen),Laptop MSI,/laptop-msi-cyborg-15-ai-a1vek-053vn,30990000.0,Intel Core Ultra 7 155H ,Intel,512,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,15.6,HD
laptopworld,Laptop Lenovo LOQ 15IAX9 83GS001RVN (Core i5-12450HX | 12GB | 512GB | RTX 3050 | 15.6 inch FHD | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-loq-15iax9-83gs001rvn,23990000.0,Intel Core i512450HX ,Intel,12,DDR5,SSD,512GB,NVIDIA GeForce RTX 3050 6GB GDDR6,15.6,HD
laptopworld,Laptop MSI Cyborg 15 A12UCX 618VN  (Core™ i5-12450H | 16GB | 512GB | RTX 2050 4GB | 15.6inch FHD 144Hz | Win 11 | Đen),Laptop MSI,/laptop-msi-cyborg-15-a12ucx-618vn,19990000.0,Intel Core i512450H ,Intel,512,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,15.6,HD
laptopworld,Laptop Acer Nitro 5 Tiger AN515-58-50EE NH.QFHSV.007 (Core i5-12450H | 8GB | 512GB | RTX 3050 4GB | 15.6 inch FHD | Win 11 | Đen),Laptop Acer,/laptop-acer-nitro-5-tiger-an515-58-50ee-nh-qfhsv-007.html,24990000.0,Intel Core i512450H ,Intel,8,DDR4,SSD,512GB,NVIDIA GeForce RTX 3050 4GB GDDR6,15.6 ,HD
laptopworld,Laptop Lenovo Legion 5 16IRX9 83DG004YVN (Core™ i7-14650HX | 16GB | 512GB | RTX™ 4060 8GB | 16inch WQXGA 165Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-legion-5-16irx9-83dg004yvn.html,43990000.0,Intel Core i714650HX ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,16.0,IPS
laptopworld,Laptop Lenovo Legion Pro 5 16IRX9 83DF0046VN (Core™ i9-14900HX | 32GB | 1TB | RTX™ 4070 8GB | 16inch WQXGA 240Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-legion-pro-5-16irx9-83df0046vn.html,56990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4070 8GB GDDR6,16.0,IPS
laptopworld,Laptop Lenovo Legion Pro 7 16IRX9H 83DE001MVN (Core™ i9-14900HX | 32GB | 1TB | RTX™ 4090 16GB | 16inch WQXGA 240Hz | Win 11 | Đen),Laptop Lenovo,/laptop-lenovo-legion-pro-7-16irx9h-83de001mvn.html,106990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4090 16GB GDDR6,16.0,IPS
laptopworld,Laptop Acer Predator Helios Neo PHN16-71-74QR NH.QLVSV.002 (Core i7-13700HX | 16GB | 512GB | RTX 4070 | 16 inch WQXGA 165Hz | Win 11 | Đen),Laptop Acer,/laptop-acer-predator-helios-neo-phn16-71-74qr-nh-qlvsv-002,49990000.0,Intel Core i713700HX ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4070 8GB GDDR6,16 ,IPS
laptopworld,Laptop Acer Nitro V ANV15-51-72VS NH.QNASV.004 (Core™ i7-13620H | 16GB | 512GB | RTX 2050 4GB | 15.6 inch FHD 144Hz | Win 11 | Đen),Laptop Acer,/laptop-acer-nitro-v-anv15-51-72vs-nh-qnasv-004.html,25990000.0,Intel Core i713620H ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,15.6 ,HD
