page,name,brand,link,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
thegioididong,Laptop HP Envy x360 14 fc0162TU Ultra 5 125U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (AY8X1PA),Laptop HP,http://www.thegioididong.com/laptop/hp-envy-x360-14-fc0162tu-ultra-5-ay8x1pa,27690000.0,0,1,Intel Core Ultra 5 Meteor Lake - 125U,Intel,16,LPDDR5,SSD,512 GB,Card tích hợp- Intel Graphics,Intel,14,2.8K
thegioididong,Laptop Acer Gaming Nitro V ANV15 51 58AN i5 13420H/8GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QNASV.001),Laptop Acer,http://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-58an-i5-nhqnasv001,16990000.0,0,1,Intel Core i5 Raptor Lake - 13420H,Intel,8,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 2050, 4 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Asus TUF Gaming A15 FA507NV R7 7735HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP031W),Laptop Asus,http://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nv-r7-lp031w,27990000.0,0,1,AMD Ryzen 7- 7735HS,AMD,16,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 4060, 8 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),Laptop Acer,http://www.thegioididong.com/laptop/acer-aspire-a514-54-5127-i5-nxa28sv007,12690000.0,0,1,Intel Core i5 Tiger Lake-1135G7,Intel,8,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,14,Độ phân giải:Full HD
thegioididong,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W),Laptop Asus,http://www.thegioididong.com/laptop/asus-vivobook-14x-oled-k3405vc-i5-km006w,23990000.0,0,1,Intel Core i5 Raptor Lake - 13500H,Intel,16,DDR4,SSD,512 GB,"Card rời-NVIDIA GeForce RTX 3050, 4 GB",Nvidia,14,2.8K
thegioididong,Laptop Asus TUF Gaming A15 FA507NU R5 7535HS/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP105W),Laptop Asus,http://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nu-r5-lp105w,22990000.0,0,1,AMD Ryzen 5- 7535HS,AMD,16,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 4050, 6 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Acer Gaming Nitro V ANV15 51 57B2 i5 13420H/8GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.001),Laptop Acer,http://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-57b2-i5-nhqn8sv001,23190000.0,0,1,Intel Core i5 Raptor Lake - 13420H,Intel,8,DDR5,SSD,512 GB,"Card rời- NVIDIA GeForce RTX 4050, 6 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Acer Gaming Nitro 5 Tiger AN515 58 773Y i7 12700H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001),Laptop Acer,http://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-773y-i7-nhqfksv001,21990000.0,0,1,Intel Core i7 Alder Lake- 12700H,Intel,8,DDR4,SSD,512 GB,"Card rời-NVIDIA GeForce RTX 3050Ti, 4 GB",Nvidia,15.6,Độ phân giải:Full HD
thegioididong,Laptop Lenovo ThinkBook 14 G6 i7 1355U/16GB/512GB/Win11 (21KG00BQVN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-thinkbook-14-g6-i7-21kg00bqvn,22990000.0,0,1,Intel Core i7 Raptor Lake - 1355U,Intel,16,DDR5,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,14,WUXGA
thegioididong,Laptop MSI Gaming Sword 16 HX B14VFKG i7 14700HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (045VN),Laptop MSI,http://www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn,36990000.0,0,1,Intel Core i7 Raptor Lake - 14700HX,Intel,16,DDR5,SSD,1 TB,"Card rời- NVIDIA GeForce RTX 4060, 8 GB",Nvidia,16,Độ phân giải:QHD
