page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,Lenovo ThinkPad P1 Gen 4 (Intel),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-4-intel?skuId=9423,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/lenovo-thinkpad-p1-gen-4-intel-undefined-Dl0.jpg,34990000,1,0,Intel Xeon W-11855M,Intel,32GB,DDR4,SSD,1,Quadro RTX A2000 4GB,Quadro,16,4K
Thinkpro,Lenovo ThinkPad P1 Gen 4 (Intel),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-4-intel?skuId=9185,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/lenovo-thinkpad-p1-gen-4-intel-undefined-Dl0.jpg,28990000,1,0,Intel Core i7 11850H,Intel,32GB,DDR4,SSD,1,Quadro RTX A3000 6GB,Quadro,16,2.5K
Thinkpro,Lenovo ThinkPad P1 Gen 4 (Intel),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-4-intel?skuId=9184,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/lenovo-thinkpad-p1-gen-4-intel-undefined-Dl0.jpg,34990000,1,0,Intel Core i9 11950H,Intel,32GB,DDR4,SSD,1,Geforce RTX3080 16GB,Geforce,16,2.5K
Thinkpro,Lenovo ThinkPad P1 Gen 4 (Intel),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-4-intel?skuId=9148,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/lenovo-thinkpad-p1-gen-4-intel-undefined-Dl0.jpg,24990000,1,0,Intel Core i7 11850H,Intel,32GB,DDR4,SSD,1,Quadro T1200M 4GB,Quadro,16,4K
Thinkpro,Lenovo ThinkPad X1 Extreme Gen 4 (Intel),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-extreme-gen-4-intel?skuId=8707,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/4/14/Lenovo%20ThinkPad%20X1%20Extreme%20Gen%204%202.jpg,28690000,1,0,Intel Core i7 11850H,Intel,32GB,DDR4,SSD,512 GB,NVIDIA GeForce RTX 3070 8GB,NVIDIA,16,4K
Thinkpro,Lenovo Thinkpad T14 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-t14?skuId=8977,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/Lenovo-Thinkpad-T14-thinkpro-01.jpg,10390000,1,0,Intel Core i7 10510U,Intel,16GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,14,FHD
Thinkpro,Lenovo Thinkpad T14 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-t14?skuId=9169,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/Lenovo-Thinkpad-T14-thinkpro-01.jpg,11790000,1,0,Intel Core i7 10510U,Intel,16GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,14,4K
Thinkpro,Lenovo Thinkpad T14 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-t14?skuId=4902,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/Lenovo-Thinkpad-T14-thinkpro-01.jpg,8790000,1,0,AMD Ryzen 5 4650U,AMD,16GB,DDR4,SSD,256 GB,AMD Radeon Series-roi,AMD,14,FHD
Thinkpro,Dell XPS 13 2 in 1 9315 (2022),Dell,https://thinkpro.vn/laptop/dell-xps-13-2-in-1-9315-2022?skuId=8173,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/25/dell-xps-13-2-in-1-9315-2022-undefined.jpg,26990000,1,0,Intel Core i7 1250U,Intel,16GB,LPDDR4X,SSD,512 GB,Intel Iris Xe Graphics,Intel,13,3K
Thinkpro,Dell Latitude 9430 2-in-1,Dell,https://thinkpro.vn/laptop/dell-latitude-9430-2-in-1?skuId=5402,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/26/dell-latitude-9430-2-in-1-thinkpro-1.jpg,18990000,1,0,Intel Core i5 1245U,Intel,16GB,LPDDR5,SSD,256 GB,Intel Iris Xe graphics,Intel,14,2.5K
Thinkpro,Dell Precision 15 7560,Dell,https://thinkpro.vn/laptop/dell-precision-15-7560?skuId=9096,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/12/dell-precision-15-7560-undefined.jpg,29990000,1,0,Intel Xeon W-11855M,Intel,32GB,DDR4,SSD,1,Nvidia Quadro RTX A4000 8GB,Nvidia,15.6,FHD
Thinkpro,Dell Latitude 9420,Dell,https://thinkpro.vn/laptop/dell-latitude-9420?skuId=7896,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/22/dell-latitude-9420-undefined.jpg,16990000,1,0,Intel Core i7 1185G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe,Intel,14,2.5K
Thinkpro,Lenovo ThinkPad X13 Gen 3,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x13-gen-3?skuId=9062,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/11/1/lenovo-thinkpad-x13-gen-3-thinkpro-01.png,14790000,1,0,Intel Core i7 1265U,Intel,16GB,LPDDR5,SSD,256 GB,Intel Iris Xe Graphics,Intel,13.3,FHD
Thinkpro,Lenovo Slim 7 16 Gen 7,Lenovo,https://thinkpro.vn/laptop/lenovo-slim-7-16-gen-7?skuId=6452,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/11/1/lenovo-yoga-slim-7i-pro-thinkpro-01.png,19990000,1,0,Intel Core i7 12700H,Intel,32GB,LPDDR5,SSD,1,Arc A370M 4GB,Arc,16,2.5K
Thinkpro,Lenovo IdeaPad 5 15ALC05,Lenovo,https://thinkpro.vn/laptop/lenovo-ideapad-5-15?skuId=8874,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/lenovo-ideapad-5-15alc05-undefined-1n6.jpg,12390000,1,0,AMD Ryzen 7 5825U,AMD,16GB,DDR4,SSD,512 GB,AMD Radeon Series-roi,AMD,15.6,FHD
Thinkpro,Lenovo ThinkPad X12 Detachable,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x12-detachable?skuId=9079,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/7/25/lenovo-thinkpad-x12-detachable-thinkpro.jpg,18490000,1,0,Intel Core i7 1160G7,Intel,16GB,LPDDR4X,SSD,512 GB,Intel Iris Xe Graphics,Intel,12.3,FHD
Thinkpro,Apple Macbook Pro 16 2019,Apple,https://thinkpro.vn/laptop/apple-macbook-pro-16?skuId=8759,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/28/apple-macbook-pro-16-2019-undefined-9Nw.jpg,17990000,1,0,Intel Core i9 9880H,Intel,16GB,DDR4,SSD,1,AMD Radeon 5500M 4GB,AMD,16,3K
Thinkpro,Dell Latitude 7530,Dell,https://thinkpro.vn/laptop/dell-latitude-7530?skuId=8392,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/5/19/dell-latitude-7530-undefined.jpg,13990000,1,0,Intel Core i7 1270P,Intel,16GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics eligible,Intel,15.6,FHD
Thinkpro,Lenovo ThinkPad P15 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-1?skuId=9063,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/12/lenovo-thinkpad-p15-gen-1-undefined.jpg,19990000,1,0,Intel Core i7 10850H,Intel,32GB,DDR4,SSD,256 GB,Nvidia Quadro T2000 4GB,Nvidia,15.6,4K
Thinkpro,Lenovo ThinkPad P15 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-1?skuId=9064,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/12/lenovo-thinkpad-p15-gen-1-undefined.jpg,19990000,1,0,Intel Core i7 10850H,Intel,48GB,DDR4,SSD,512 GB,Nvidia Quadro T2000 4GB,Nvidia,15.6,FHD
