page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
laptop88,ASUS TUF Gaming A15 FA506NCR-HN047W ,ASUS,https://laptop88.vn/new-100-laptop-asus-tuf-gaming-a15-fa506ncr-hn047w-amd-r7-7435hs-16gb-ddr5-rtx-3050-15-6-full-hd-144hz,https://laptop88.vn/media/product/pro_poster_9188.jpg,20490000,0,1,CPU AMD R7-7435HS,AMD,16GB,DDR5,SSD,512GB,Nvidia Geforce RTX 3050 4GB,Nvidia,15.6,FHD
laptop88,Lenovo LOQ 15IAX9 83GS001BUS ,Lenovo,https://laptop88.vn/new-outlet-laptop-lenovo-loq-15iax9-83gs001svn-intel-core-i5-12450hx-rtx-2050-15-6-inch-144hz-100-srgb,https://laptop88.vn/media/product/pro_poster_9187.jpg,16990000,0,1,CPU Intel Core i5-12450HX,Intel,12GB,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050,NVIDIA,15.6,FHD
laptop88,Lenovo Legion Y7000P IRX9 83JJ0000CD ,Lenovo,https://laptop88.vn/new-100-lenovo-legion-y7000p-irx9-83jj0000cd-intel-core-i7-13650hx-24gb-rtx-4060-15-6-inch-full-hd,https://laptop88.vn/media/product/pro_poster_9175.jpg,29990000,0,1,CPU Intel Core i7 -13650HX,Intel,24GB,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,NVIDIA,15.6,FHD
laptop88,Lenovo LOQ 15ARP9 83JC007KUS ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-loq-15arp9-83jc007kus-amd-r7-7435hs-16gb-ddr5-rtx-4050-15-6-inch-full-hd-144hz-100-srgb,https://laptop88.vn/media/product/pro_poster_9174.jpg,21290000,0,1,CPU AMD Ryzen 7-7435HS,AMD,16GB,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050,NVIDIA,15.6,FHD
laptop88,Lenovo Legion 5 16IRX9 83DG004NUS ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-legion-5-16irx9-83dg004nus-intel-core-i7-14650hx-16gb-nvidia-rtx-4060-16-inch-2k-165hz-100-srgb,https://laptop88.vn/media/product/pro_poster_9170.jpg,31990000,0,1,CPU Intel Core i7-14650HX,Intel,16GB,5600,512,B,NVIDIA GeForce RTX 4060 8GB GDDR6,NVIDIA,16,2.5K
laptop88,Lenovo ThinkBook X IMH-21NW0002CD ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-x-imh-21nw0002cd-intel-core-ultra-9-185h-32gb-ssd-1tb,https://laptop88.vn/media/product/pro_poster_9169.jpg,34590000,0,1,CPU Intel Core Ultra 9 185H,Intel,32GB,LPDDR5,SSD,1TB,Intel Arc Graphics,Intel,13.5,2.8K
laptop88,Acer Swift Edge SFE16-42-R8WB ,Acer,https://laptop88.vn/new-outlet-acer-swift-edge-sfe16-42-r8wb-amd-r7-7735u-16gb-ssd-1tb-16-inch-4k-oled,https://laptop88.vn/media/product/250_9168_51p9viawacl__ac_sl1280_.jpg,14990000,0,1,CPU AMD R7-7735U,AMD,16GB,LPDDR5,SSD,1TB,AMD Radeon Vega Graphics,AMD,16,4K
laptop88,Lenovo ThinkBook 16 G7 AHP 21MU0003CD ,Lenovo,https://laptop88.vn/new-100-lenovo-thinkbook-16-g7-ahp-21mu0003cd-amd-r7-8845h-16gb-ram-ssd-1tb-16-inch-2k,https://laptop88.vn/media/product/pro_poster_9164.jpg,21990000,0,1,CPU AMD Ryzen 7 - 8845H,AMD,16GB,DDR5,SSD,1TB,AMD Radeon Graphics,AMD,16,2.5K
laptop88,Dell Inspiron 16 7640 2 in 1 62J95 ,Dell,https://laptop88.vn/new-100-dell-inspiron-16-7640-2-in-1-62j95-intel-core-ultra-7-155h-16gb-s,https://laptop88.vn/media/product/pro_poster_9163.jpg,22990000,0,1,CPU Intel Core Ultra 7-155H,Intel,16GB,LPDDR5X,SSD,1TB,Intel Arc Graphics,Intel,16,FHD
laptop88,Dell Inspiron 14 7445 2 in 1 77CF1 ,Dell,https://laptop88.vn/new-100-dell-inspiron-14-7445-2-in-1-77cf1-amd-r5-8640hs-ssd-512gb-14-inch-full-hd-touch,https://laptop88.vn/media/product/pro_poster_9162.jpg,15290000,0,1,CPU AMD R5 - 8640HS,AMD,8GB,DDR5,SSD,512GB,AMD Radeon Graphics,AMD,14,FHD
