brand,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Dell,14990000.0,0,1,Intel Core i7 1265U,Intel,32.0,DDR4,SSD,256GB,Intel Iris Xe Graphics,Intel,14,FHD
Dell,29990000.0,0,1,Intel Xeon W-11855M,Intel,32.0,DDR4,SSD,1TB,Nvidia Quadro RTX A4000 8GB,Nvidia,15.6,FHD
Dell,16990000.0,0,1,Intel Core i7 1185G7,Intel,16.0,LPDDR4X,SSD,256GB,Intel Iris Xe,Intel,14,2.5K
Lenovo,14790000.0,0,1,Intel Core i7 1265U,Intel,16.0,LPDDR5,SSD,256GB,Intel Iris Xe Graphics,Intel,13.3,FHD
Lenovo,12390000.0,0,1,AMD Ryzen 7 5825U,AMD,16.0,DDR4,SSD,512GB,AMD Radeon Series-roi,AMD,15.6,FHD
Lenovo,23390000.0,0,1,Intel Core i7-12700H,Intel,16.0,DDR5,SSD,512GB,NVIDIA T1200M 4GB,NVIDIA,15.6,FHD
Lenovo,19990000.0,0,1,Intel Core i7 12700H,Intel,32.0,LPDDR5,SSD,1TB,Arc A370M 4GB,Arc,16,2.5K
Lenovo,18490000.0,0,1,Intel Core i7 1160G7,Intel,16.0,LPDDR4X,SSD,512GB,Intel Iris Xe Graphics,Intel,12.3,FHD
Lenovo,14390000.0,0,1,AMD Ryzen 5 8640HS,AMD,8.0,LPDDR5,SSD,512GB,AMD Radeon 760M Graphics,AMD,14,FHD
LG,36990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,LPDDR5,SSD,2TB,Intel Arc graphics,Intel,16,2.5K
Lenovo,22990000.0,0,1,AMD Ryzen 7 8745H,AMD,24.0,LPDDR5X,SSD,1TB,AMD Radeon 780M,AMD,16,2.5K
Lenovo,22790000.0,0,1,Intel Core i7-1360P,Intel,16.0,LPDDR5X,SSD,512GB,Intel UHD Graphics,Intel,14,FHD
Macbook,17990000.0,0,1,Intel Core i9-9880H,Intel,16.0,DDR4,SSD,1TB,AMD Radeon 5500M 4GB,AMD,16,3K
Asus,15490000.0,0,1,Intel Core Ultra 5 125H,Intel,8.0,LPDDR5,SSD,512GB,Intel Arc Graphics,Intel,14,FHD
Dell,16990000.0,0,1,AMD Ryzen 7 8840HS,AMD,16.0,DDR5,SSD,512GB,AMD Radeon 780M,AMD,14,2K
Dell,13990000.0,0,1,Intel Core i7-1270P,Intel,16.0,LPDDR5,SSD,512GB,Intel Iris Xe Graphics eligible,Intel,15.6,FHD
Acer,17990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,LPDDR5X,SSD,1TB,Intel ARC Graphics,Intel,14,FHD
Dell,36990000.0,0,1,Snapdragon X Elite,Qualcomm,16.0,LPDDR5X,SSD,512GB,Qualcomm Adreno GPU,Qualcomm,13.4,FHD
Lenovo,17290000.0,0,1,Intel Core i7-10750H,Intel,16.0,DDR4,SSD,512GB,Nvidia Quadro T1000 4GB,Nvidia,15.6,FHD
Lenovo,24790000.0,0,1,Intel Core i7 12700H,Intel,16.0,LPDDR5,SSD,512GB,Geforce RTX 3050 4GB,Geforce,14.5,3K
Acer,26590000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,LPDDR5X,SSD,512GB,Intel Arc Graphics,Intel,14,FHD
Asus,50990000.0,0,1,AMD Ryzen 9 8945HS,AMD,32.0,LPDDR5X,SSD,512GB,RTX 4050 6GB,RTX,14,3K
Asus,63990000.0,0,1,Intel Core Ultra 9 185H,Intel,32.0,LPDDR5X,SSD,1TB,RTX 4060 8GB,RTX,16,2.5K
Acer,18490000.0,0,1,Intel Core Ultra 5 125U,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,14,FHD
Lenovo,19390000.0,0,1,Intel Core Ultra 5 125U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,14,FHD
Acer,46990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,LPDDR5,SSD,1TB,RTX 4060 8GB,RTX,14.5,3K
Acer,46590000.0,0,1,Intel Core i7-14650HX,Intel,16.0,DDR5,SSD,1TB,RTX 4060 8GB,RTX,16,FHD
Acer,35990000.0,0,1,Intel Core i5-13500HX,Intel,16.0,DDR5,SSD,512GB,RTX 4060 8GB,RTX,16,FHD
Acer,26990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,LPDDR5,SSD,512GB,Intel Arc Graphics,Intel,14,FHD
Acer,25990000.0,0,1,AMD Ryzen 7 8845HS,AMD,16.0,DDR5,SSD,512GB,RTX 3050 6GB,RTX,16,FHD
Asus,54990000.0,0,1,AMD Ryzen 9 8945HS,AMD,32.0,LPDDR5X,SSD,1TB,RTX 4060 8GB,RTX,14,3K
Lenovo,19990000.0,0,1,Intel Core i5-1350P,Intel,16.0,LPDDR5X,SSD,512GB,Quadro RTX A500 4GB,Quadro,16,FHD
Acer,35990000.0,0,1,Intel Core i9 14900HX,Intel,16.0,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,NVIDIA,16,FHD
Asus,22390000.0,0,1,Intel Core i9-13900H,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,3K
Asus,17790000.0,0,1,Intel Core i5-13500H,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,3K
Asus,15790000.0,0,1,Intel Core i5-12500H,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14,3K
Asus,22990000.0,0,1,Intel Core i5-12500H,Intel,16.0,DDR4,SSD,512GB,RTX 4050 6GB,RTX,16,FHD
Asus,16990000.0,0,1,Intel Core i5-12500H,Intel,16.0,DDR4,SSD,512GB,RTX 2050 4GB,RTX,16,FHD
Lenovo,14190000.0,0,1,Intel Core i5-12450H,Intel,16.0,DDR5,SSD,512GB,Intel UHD Graphics,Intel,14,FHD
Lenovo,79990000.0,0,1,Intel Core i9-14900HX,Intel,32.0,DDR5,SSD,1TB,RTX 4080 12GB,RTX,16,FHD
Lenovo,39990000.0,0,1,Intel Core i7-14650HX,Intel,16.0,DDR5,SSD,1TB,RTX 4060 8GB,RTX,16,FHD
Lenovo,32990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,16,FHD
Lenovo,29490000.0,0,1,Intel Core i7-13650HX,Intel,16.0,DDR5,SSD,512GB,RTX 4050 6GB,RTX,15.6,FHD
Lenovo,25490000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,LPDDR5,SSD,512GB,Intel Arc Graphics,Intel,16,FHD
