brand,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Lenovo,28990000.0,0,1,Intel Core Ultra 5 125H,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,13.5,8K
Lenovo,35990000.0,0,1,Intel Core Ultra 7 155U,Intel,16.0,DDR5,SSD,1TB,Intel Graphics,Intel,14.0,IPS
Lenovo,37990000.0,0,1,Intel Core Ultra 7 155U,Intel,32.0,DDR5,SSD,1TB,Intel Graphics,Intel,14.0,IPS
Dell,20990000.0,0,1,Intel Core i51335U,Intel,8.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,HD
Lenovo,26590000.0,0,1,Intel Core Ultra 5 125U,Intel,32.0,DDR5,SSD,1TB,Intel Graphics,Intel,16.0,IPS
Lenovo,24890000.0,0,1,Intel Core Ultra 5 125U,Intel,16.0,DDR5,SSD,1TB,Intel Graphics,Intel,16.0,IPS
Lenovo,23790000.0,0,1,Intel Core Ultra 5 125U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,16.0,IPS
Lenovo,,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,2K
Acer,22990000.0,0,1,Intel Core Ultra 7 155U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,HD
Lenovo,,0,1,Intel Core Ultra 5 125U,Intel,32.0,DDR5,SSD,1TB,Intel Graphics,Intel,14.0,2K
Lenovo,65390000.0,0,1,Intel Core Ultra 7 165U,Intel,64.0,DDR5,SSD,1TB,Intel Graphics,Intel,14.0,8K
Lenovo,18490000.0,0,1,Intel Core 5 120U,Intel,16.0,DDR5,SSD,256GB,Intel Graphics,Intel,14.0,HD
Lenovo,22490000.0,0,1,Intel Core 7 150U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,HD
Dell,23990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,16.0,HD
